userId,reasoning,solreq,provideinfo,n,llm,no_llm
011bd560-70e1-7036-62a9-3d29afd5179d,0.1,0.5333333333333333,0.5666666666666667,30,0.9771428571428572,0.925
014b6540-3041-705c-365b-d2029fb91b21,0.1,0.5,0.7,30,0.875993640699523,0.7258333333333333
016b15c0-a071-70a4-d6d6-0aae841b512a,0.0,0.7407407407407407,0.18518518518518517,27,0.9866666666666668,1.0016666666666667
016b65a0-90b1-703c-a8e3-caf440f1860a,0.038461538461538464,0.5769230769230769,0.6923076923076923,26,0.9752380952380952,0.9133333333333332
017bc500-50b1-70d6-f73f-a218553355df,0.2,0.4,0.5666666666666667,30,0.9276190476190476,0.7883333333333333
019be580-4061-7075-debb-ffd77dc8ca40,0.1,0.6333333333333333,0.43333333333333335,30,0.9427662957074722,0.8766666666666667
01cbf550-9041-70f1-3bbe-92176ffa992e,0.0,0.6333333333333333,0.6666666666666666,30,0.9793322734499204,0.9333333333333332
01eb0530-d011-70d4-70a6-3d8b36a0733f,0.13333333333333333,0.5333333333333333,0.6333333333333333,30,0.9828571428571428,0.9933333333333332
112b5570-40c1-70f5-ada6-8cd2d2eb5007,0.13333333333333333,0.5333333333333333,0.5,30,0.9638095238095238,0.785
113ba590-f051-7017-0685-470ebc1c654d,0.0,0.6,0.3333333333333333,30,0.960952380952381,0.7883333333333333
115ba5a0-f021-7098-63b7-6750e7705b72,0.13333333333333333,0.6,0.5,30,0.96,0.7816666666666666
116b0520-f0b1-70d5-0575-61162dd862fd,0.03333333333333333,0.43333333333333335,0.6333333333333333,30,0.9923809523809524,1.0133333333333334
117bf560-5011-70e9-de01-b833f5651c83,0.03333333333333333,0.43333333333333335,0.23333333333333334,30,0.9777424483306836,0.8916666666666667
11cb7520-40f1-70ca-46b8-915a77bae7de,0.03333333333333333,0.4,0.5666666666666667,30,0.7027027027027027,0.7991666666666667
11dbd5f0-80a1-7076-d1aa-848948d336e3,0.0,0.2727272727272727,0.36363636363636365,11,0.9157392686804452,0.7358333333333333
216bd550-9081-7098-93e3-10b74373ebe6,0.0,0.5,0.7,10,0.956190476190476,0.87
